seed,scenario_group,band,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,symbol_entropy_bits,conditional_bit_entropy_sum,bmd_gmi_bits_per_symbol,gmi,ngmi,ber,gsnr_db,air_tbps,rate_tbps
1,C,C,8,-2.0,0.28,True,q3_evidence,PCS raw,pcs_raw,3.982015709386646,0.07835610529385266,3.9036596040927933,3.9036596040927933,0.9804109736765368,0.00469970703125,14.650207270294683,0.49966842932387756,0.49966842932387756
1,C,C,8,-2.0,0.32,True,q3_evidence,PCS raw,pcs_raw,3.976555119443372,0.08435914591002361,3.8921959735333482,3.8921959735333482,0.9789102135224941,0.005096435546875,14.526448399539522,0.49820108461226853,0.49820108461226853
1,C,C,8,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.970391608345835,0.06743351891751612,3.902958089428319,3.902958089428319,0.983141620270621,0.004241943359375,14.676479739806268,0.49957863544682485,0.49957863544682485
1,C,C,8,0.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,4.0,0.13568344494422874,3.864316555055771,3.864316555055771,0.9660791387639428,0.00872802734375,14.326953812160726,0.49463251904713873,0.49463251904713873
1,C,C,8,0.0,0.12,True,q3_evidence,PCS raw,pcs_raw,3.996679855921233,0.12635920272410867,3.8703206531971244,3.8703206531971244,0.9684101993189729,0.008392333984375,14.23798287369474,0.49540104360923193,0.49540104360923193
1,C,C,8,0.0,0.16,True,q3_evidence,PCS raw,pcs_raw,3.9941028013225788,0.107362395408933,3.886740405913646,3.886740405913646,0.9731594011477668,0.00634765625,14.378003039203627,0.49750277195694664,0.49750277195694664
1,C,C,8,0.0,0.2,True,q3_evidence,PCS raw,pcs_raw,3.990796214317659,0.12490837300279352,3.8658878413148656,3.8658878413148656,0.9687729067493016,0.00726318359375,14.282976332525175,0.4948336436883028,0.4948336436883028
1,C,C,8,0.0,0.24,True,q3_evidence,PCS raw,pcs_raw,3.9867651399345525,0.10937233329484669,3.8773928066397056,3.8773928066397056,0.9726569166762883,0.00689697265625,14.325545822527857,0.4963062792498823,0.4963062792498823
1,C,C,8,0.0,0.28,True,q3_evidence,PCS raw,pcs_raw,3.982015709386646,0.11185184903991227,3.8701638603467337,3.8701638603467337,0.9720370377400219,0.007080078125,14.302595127377252,0.4953809741243819,0.4953809741243819
1,C,C,8,0.0,0.32,True,q3_evidence,PCS raw,pcs_raw,3.976555119443372,0.10867898423241587,3.867876135210956,3.867876135210956,0.972830253941896,0.00689697265625,14.260574758252442,0.4950881453070024,0.4950881453070024
1,C,C,8,0.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.970391608345835,0.10912071308035864,3.861270895265476,3.861270895265476,0.9727198217299103,0.00701904296875,14.18820898128018,0.49424267459398097,0.49424267459398097
1,C,C,8,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,4.0,0.22070052838464121,3.7792994716153587,3.7792994716153587,0.9448248679038397,0.01336669921875,13.676084912373188,0.48375033236676596,0.48375033236676596
1,C,C,8,2.0,0.12,True,q3_evidence,PCS raw,pcs_raw,3.996679855921233,0.20895623399440208,3.7877236219268307,3.7877236219268307,0.9477609415013994,0.012359619140625,13.602256816129596,0.4848286236066343,0.4848286236066343
1,C,C,8,2.0,0.16,True,q3_evidence,PCS raw,pcs_raw,3.9941028013225788,0.20681613782498634,3.7872866634975924,3.7872866634975924,0.9482959655437534,0.012939453125,13.522538049654615,0.4847726929276918,0.4847726929276918
